"t_IDs" "Cent" "Cdet" "wp_a" "wp_b" "wp_bp" "up_c" "bc_ap" "delta_bkg" "wp0"
"SCM-1-001" 0.731069032201404 1.26881315328716 0.659632225728547 0.750770363384858 0.884129326597322 0.0700956230424344 0.142381803400582 0.482971318966011 5.17449886343118e-07
"SCM-1-002" 0.449607518290915 1.50847876612595 0.538274058904033 0.716585241388297 1.5166205641639 0.597854231945239 0.10832321578986 1.32151806056383 5.64372528899777e-06
"SCM-1-003" 0.457524320995761 1.08426731664934 0.498917581742024 0.654267570717633 0.849103862785269 0.615972642987035 0.216258672008989 2.16738607334555 0.000546829652845856
"SCM-1-004" 0.343661952977953 1.64162739123069 0.432872650430072 0.415870671790792 1.42059008905315 0.427155700502917 0.156044018881861 1.47706118900096 0.000184141948800237
"SCM-1-005" 0.609570310768113 1.68366328044236 0.725046451359103 0.51726157516134 1.75045991064399 0.443869412820786 0.331691727413563 1.60547494003433 1.03829782313629e-05
"SCM-1-006" 0.435349232030986 1.75223179120524 0.456081738437945 0.271366384886159 0.778845663027605 0.192580213141628 0.362743312445702 2.22987222379539 6.69983058535092e-07
"SCM-1-007" 0.529404888323229 1.20502622918636 0.559485524900351 0.587991153325979 0.939781573645305 0.491559545178898 0.0716376499885227 1.11421441306244 1.0532098389553e-06
"SCM-1-008" 0.844715415430907 1.34399727754844 0.669350007195352 0.185700487016886 1.38338562177145 0.577945417137817 0.206624568781815 1.40239457390504 0.0491463630497774
"SCM-1-009" 0.213018647943204 1.62123158973451 0.596853855789825 0.77762219064869 0.734821543842554 0.948855283563025 0.193735068892362 1.0337306345487 0.0218542861542195
"SCM-1-010" 0.183331653447496 1.41305716614504 0.319147866846295 0.431992629894055 1.85002145211678 0.559233032511547 0.245317125516012 1.68243825847865 3.32887854167871e-08
"SCM-1-011" 0.325832739635417 1.18568578195884 0.745386001221649 0.896360042986553 2.19377450726228 0.527342374045402 0.0460187771511264 2.1147832799342 8.0245028506378e-05
"SCM-1-012" 0.748090505059529 1.52949699288509 0.513610564771574 0.564647540479898 1.92103679285501 0.285685008936562 0.374070353920804 0.326884442336159 0.000115221103356065
"SCM-1-013" 0.291674862886034 1.57421055089412 0.194703173287353 0.533103975830274 1.10137081917608 0.127435016268864 0.314244734495413 1.28428039479535 8.7405435838592e-05
"SCM-1-014" 0.657285170172108 1.48962608807054 0.143882751933997 0.24700716600474 2.27017860559979 0.275405941023491 0.275311620658496 1.52973498604842 0.00775002505897358
"SCM-1-015" 0.0997855823454447 1.70259109350983 0.954563580225827 0.836434263550304 1.21686486713355 0.71435268541798 0.214128490231466 2.07396905931993 2.15858143939214e-07
"SCM-1-016" 0.628739120450942 1.869466507007 0.484881525855698 0.288128381751943 1.34892770076171 0.98911087022163 0.175275047167903 2.04025544743519 1.30076086467767e-08
"SCM-1-017" 0.78826757135801 1.38757386018992 0.769891222016839 0.933317911264673 1.64990213000216 0.808768318318762 0.344127955476986 1.90348416806664 0.00455555471278705
"SCM-1-018" 0.650929287417233 1.55702808065899 0.565450714736059 0.0987497988363262 0.620393801205792 0.223959584729746 0.0974896406962071 1.43606271940283 2.77703596952091e-05
"SCM-1-019" 0.698443449459644 1.54554553464782 0.638870966603048 0.873426752242213 0.985596727957018 0.311887323223054 0.123354235856328 1.98194044096046 1.05419463217587e-07
"SCM-1-020" 0.919509255688777 1.46600674423957 0.365397452120297 0.252463298666477 0.581649614542257 0.518513487577438 0.396905495855492 0.814214291186072 0.000299333675791672
