"t_IDs" "Cent" "Cdet" "wp_a" "wp_b" "wp_bp" "up_c" "bc_ap" "delta_bkg" "wp0"
"SCM-2-001" 0.679772848926315 1.70974417688946 0.834498284743798 0.865215480934779 1.74511648985161 0.189119392824993 0.0038151333511644 1.61540967971185 3.15204710375858e-05
"SCM-2-002" 0.541483410899578 1.18758068479876 0.343043643200813 0.244515599018449 0.565265617587902 0.303044633387685 0.381748378287666 0.955015496585765 0.000500864098616584
"SCM-2-003" 0.520552337150051 1.14008769206967 0.202627291106152 0.210711459510034 1.08876907678797 0.0101773441673978 0.219556894779068 2.61643274688824 0.00104538234027139
"SCM-2-004" 0.739064847285176 1.77721417763423 0.72749838127006 0.352220297073246 2.83059318930365 0.247089216113208 0.262145911226909 1.66441211386467 6.32493949156792e-05
"SCM-2-005" 0.764050521928845 1.77708550020938 0.0349648563473128 0.11160815547899 2.06927091509129 0.801926689674469 0.181513636375523 0.584226397301566 9.67960478658305e-07
"SCM-2-006" 0.75139963876919 1.00782915601977 0.0381865568106451 0.465867917732126 1.61035387193548 0.498643820682649 0.322255779930269 0.470305524678228 0.00261491125664254
"SCM-2-007" 0.803193427272716 1.71039044376814 0.0376046103666443 0.272092009619392 1.40986797588925 0.878125317346552 0.355346079865425 2.9677036388846 0.00249742390861914
"SCM-2-008" 0.431175795361306 1.76207722562894 0.170752378705377 0.882801904272013 1.05790205658112 0.469674277345488 0.212633145725642 2.63836927518439 0.000514022183922316
"SCM-2-009" 0.459212818409017 1.26649916741513 0.629626153443908 0.354880468557705 1.37429919175253 0.0599472465788573 0.445722988192543 2.7117189218026 0.00317913924045304
"SCM-2-010" 0.878706848792863 1.12777746434479 0.552684242942208 0.0444062162236706 0.179282894939117 0.553404901665199 0.39552353532239 2.90912839880691 3.24617181411542e-06
"SCM-2-011" 0.760400918962304 1.36470268137322 0.95135876135897 0.683808281562807 1.81243773567885 0.495037568308646 0.0748019363252395 1.5901880651245 0.0254525337142659
"SCM-2-012" 0.228722464195816 1.28379908205116 0.406867013339136 0.651900818838493 1.77199152001031 0.408270336633773 0.34617938800833 0.0883755510437629 1.26776403378901e-05
"SCM-2-013" 0.306371636096383 1.02421071530949 0.831297569227736 0.786312431909891 2.89694996357527 0.666365718250147 0.244635098297303 2.51932661155615 5.05411996984259e-07
"SCM-2-014" 0.64570942324246 1.30496483774784 0.528179350534539 0.901167571384631 2.24649073515814 0.912788877650217 0.306606636549059 0.956113173827368 1.33890042753825e-08
"SCM-2-015" 0.656385036512847 1.66509910984039 0.524483000660546 0.494083842057516 1.22072171512812 0.498097983351848 0.131171889380545 1.74426010169496 0.000851599869532808
"SCM-2-016" 0.948242338126776 1.86018196745108 0.766416063223552 0.0997695670854176 0.550647514449307 0.708398642711018 0.396438583917354 2.74006816455278 2.22763401189698e-07
"SCM-2-017" 0.0512422586233107 1.73585533534457 0.559050117714692 0.316941706578401 1.57967201009641 0.166002630063104 0.386364984287733 2.97020617410058 0.00133629424415201
"SCM-2-018" 0.652116399766958 1.3754813643795 0.704747878329155 0.796634479756646 1.82805776990344 0.319554531109493 0.000741339626388396 0.0026292559614195 2.24717252267622e-07
"SCM-2-019" 0.293618711517721 1.98170180691673 0.135333832934839 0.155319049286591 0.901347446891037 0.813638567586769 0.0993996458621565 1.41037686760077 0.0356944205957886
"SCM-2-020" 0.792742324393791 1.76546340249834 0.838257745249923 0.863034816400532 0.60285291030755 0.00907739695116955 0.308415229426969 1.17564422764102 6.50783927323735e-06
"SCM-2-021" 0.834057330177138 1.20736464557195 0.189134337601005 0.725508633155223 0.740070654630172 0.678935891579773 0.228374822441858 2.66637589894359 0.00330291803586267
"SCM-2-022" 0.614221744335538 1.97088487753907 0.64486082723908 0.185398774525056 1.98741808669329 0.674799541146336 0.0192883502554855 2.29455250928561 6.25196873988875e-06
"SCM-2-023" 0.957679041294732 1.25090322259522 0.300091219894201 0.133051817190704 1.12492194644565 0.0889608171127496 0.112073967726331 2.5116734075057 3.90228743339112e-06
"SCM-2-024" 0.400784576391499 1.70671359334764 0.295011311900721 0.391688844572238 1.44713949184702 0.319232703802926 0.260258931384572 1.43294344209543 0.00937950646884562
"SCM-2-025" 0.520853198477164 1.49777766596216 0.511051833470128 0.60016835731516 0.466177869494269 0.719764379716953 0.293924299497631 0.786236944124745 0.00351243520759126
"SCM-2-026" 0.904620977741505 1.08492462670669 0.333991482186861 0.726296813810752 1.10726993611478 0.533937579689507 0.250134671490476 1.43393845568503 1.50653193391198e-07
