"t_IDs" "Cent" "Cdet" "wp_a" "wp_b" "wp_bp" "up_c" "bc_ap" "delta_bkg" "wp0"
"SCM-1-001" 0.439893779424829 1.35513969578011 0.434544909058048 0.387474662441325 1.04762040425355 0.382593903194546 0.155699701062606 0.956661155489122 -3.08891781445836e-08
"SCM-1-002" 0.209082054522435 1.31941395924609 0.408377268719791 0.194415962636451 1.22060401840692 0.266929444872126 0.127292131431117 1.16799632006492 -3.46772960551164e-08
"SCM-1-003" 0.865768357378977 1.27346788084428 0.0904015161713545 0.31223825578178 1.42441855604209 0.157806621631607 0.0695063268958146 0.430631506337744 -2.38506693534715e-08
"SCM-1-004" 0.696131624941431 1.38350317124784 0.32614224324013 0.70473023743475 0.897378981083065 0.0640112121675528 0.0549180324715765 1.62036494769627 -3.59172195866299e-08
"SCM-1-005" 0.619004724001127 1.37813352795429 0.548161833398196 0.399148042546332 1.12649444735649 0.122023632167839 0.158151104898475 1.43112145693917 -3.30744478225951e-08
"SCM-1-006" 0.308292753348107 1.1932454623611 0.177699719817813 0.170630836753306 0.479362063762813 0.15092315239599 0.0905025297684757 1.05077977967195 -4.85529800054982e-08
"SCM-1-007" 0.227143616010131 1.12186441532812 0.243518516546692 0.516315690384793 1.27698557569175 0.313286093455922 0.057016176191847 0.766429777382417 -1.46325913877429e-08
"SCM-1-008" 0.390899754425956 1.47867321331287 0.525678518666258 0.334922166554075 1.16413020401049 0.440581411882506 0.130827599073477 1.27857548119526 -2.91019786394242e-08
"SCM-1-009" 0.807053877778716 1.60294509002655 0.380710289607371 0.66024320490061 1.10428182433901 0.341936637905588 0.106662199344567 0.660351275632148 -3.42900799411228e-08
"SCM-1-010" 0.584860305564539 1.49722512679721 0.37028649244584 0.579852616113266 1.35683415130251 0.0974005905470973 0.0860761951209734 0.451908503637558 -4.10161842666971e-08
"SCM-1-011" 0.491511648069338 1.45843230753773 0.744322133374846 0.0374064466722674 0.391828448385122 0.370828863812874 0.0726649903216521 1.71083226532336 -1.96371830819661e-08
"SCM-1-012" 0.0651712309685536 1.17581674312545 0.769012293662147 0.782054271973801 0.945409419471854 0.18464229240477 0.0957122848946196 0.581092677451164 -2.43448936813713e-08
"SCM-1-013" 0.4184559529875 1.45263382836559 0.476031054343127 0.817958586577468 0.45845327893925 0.192744297162711 0.0624624209336775 0.995857717149192 -1.71301284537691e-08
"SCM-1-014" 0.274466888458245 1.34689982671837 0.441041311707965 0.79111593353471 0.735528686444488 0.446440835007588 0.111924242082497 1.04561580372493 -3.70121284645132e-08
"SCM-1-015" 0.14273599223993 1.65659178483563 0.184221970369159 0.504765717555445 1.60240115489148 0.318600877823369 0.0163680987209891 1.47718668523695 -4.21447423778717e-08
"SCM-1-016" 0.319792383091787 1.57518712234754 0.63319234576628 0.216718171381786 0.303233153201923 0.356022596139076 0.103353105055209 0.705007438737717 -2.51760003851403e-08
