"t_IDs" "Cent" "Cdet" "wp_a" "wp_b" "wp_bp" "up_c" "bc_ap" "delta_bkg" "wp0"
"SCM-1-001" 0.804057776444926 1.69328734422761 0.755976905718031 0.293645624138425 1.71786359813616 0.341907307692884 0.226448229029167 2.17512536634888 0.00048721978698654
"SCM-1-002" 0.465096386734943 1.624559472511 0.344894529194571 0.375358013625297 1.29212873360476 0.45450818819581 0.297379309069062 1.62037277006438 2.92020738986067e-06
"SCM-1-003" 0.481152573083831 1.54270404460334 0.20702089996153 0.483203273119618 0.725537813200271 0.596206614155444 0.0858725839755093 1.17073614940518 0.00536564092074762
"SCM-1-004" 0.71112015305664 1.67910130894211 0.25514951069323 0.50921832378159 0.85756674708429 0.182886670814301 0.0694733331410174 0.833844192083115 0.000284320831475771
"SCM-1-005" 0.358901443254182 1.74795371840571 0.465001899120955 0.853579451040992 0.997128167664177 0.773093728313182 0.319123088232869 1.60426289181392 0.00057111818251827
"SCM-1-006" 0.38339763855678 1.4950479382275 0.386425624636771 0.217105274956937 1.49354477041608 0.131493067723172 0.117521488309696 1.05504895216639 7.25585653839362e-05
"SCM-1-007" 0.26837771750941 1.09840079238982 0.497994742521804 0.754437079251005 2.15732128964484 0.611673248091551 0.0299543187710578 0.902284524802108 0.00157548009542899
"SCM-1-008" 0.587236384282334 1.88557146958987 0.824242997094786 0.403094348522946 0.572711088035367 0.389070513774641 0.00770173733269432 0.72189223145403 1.18150529506707e-05
"SCM-1-009" 0.29642567710045 1.22032409755624 0.797950646002807 0.918190405447664 1.13880571209238 0.198498811021083 0.244136571208946 1.45992230848946 3.00757128343652e-07
"SCM-1-010" 0.836046142828873 1.61722491190754 0.354819454338513 0.694038350145413 1.4035628671687 0.310100374976173 0.323874549914921 1.68524511297532 6.89989577669791e-07
"SCM-1-011" 0.170802353863888 1.14263753660317 0.23649843934235 0.488517745529433 1.9280885342463 0.698574916707635 0.369635434470737 1.26133927905745 8.52174703670424e-08
